Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC
2015-03-02,,,,
2015-03-03,-0.0012655075190809,-0.0049805193303235,-0.000495532314771,-0.0065686697777341
2015-03-04,0.0022299125472557,0.0032412804609494,-0.0025339767732336,0.0042130191614917
2015-03-05,0.004016001641246,0.0040760527388379,0.002354656751653,0.0067263298226736
2015-03-06,-0.0079053574475131,-0.0035740337066856,-0.0084811733982874,-0.0130980610527715
2015-03-09,0.0005822796500871,0.0042254100516698,0.0058427361834103,-0.0016524551597966
2015-03-10,-0.0102629670644321,-0.0053407235443818,-0.0120791539006549,-0.0097390284734647
2015-03-11,0.0040119208043012,0.0051631430413661,0.0033118255343416,-0.0011466764438018
2015-03-12,0.0082646299047095,0.0102716185869347,0.0131168901913818,0.01080141763962
2015-03-13,-0.0024972745488313,-0.0014284161547658,-0.0036971872087163,-0.008142217554344
2015-03-16,0.0079006210385901,0.0035825339926776,0.007953004700508,0.008054624464487
2015-03-17,0.0021419035463847,0.0029281064224944,-0.0006871817837931,0.0003843565322338
2015-03-18,0.0096027594185787,0.0075130969407208,0.0095568796603204,0.0078535252095985
2015-03-19,-0.0007784772838256,-0.0025542270888001,-0.0029250942474209,0.0023629367796258
2015-03-20,0.0096572999202588,0.0009833771991436,0.0073907793434191,0.0071046562222378
2015-03-23,-6.674185755528583e-05,-0.0005134996079992,-0.0001087525046352,0.0005910985542618
2015-03-24,-0.002570522859054,-0.0048080230333857,-0.0033209258633954,-0.0010129942802968
2015-03-25,-0.006156197230142,-0.0080183564909085,-0.0111715371095874,-0.0145673009155858
2015-03-26,-0.0020978795111205,-0.0005929135940357,-0.0010345354638604,-0.0012116232367689
2015-03-27,-7.500987092434741e-05,0.0020878888719788,0.0021895850459361,0.0047757069040683
2015-03-30,0.008112673837378,0.0022196864505061,0.0086168241672646,0.0052278947373183
2015-03-31,-0.0054445930356659,-0.0030211713659039,-0.0039680010092048,0.0018580599284478
2015-04-01,0.0009185284392367,0.0001568146069086,-0.0020015371371282,-0.003865395879651
2015-04-02,0.0025612955246112,0.0042990336058916,0.0030581297294201,0.0019664295861856
2015-04-06,0.0053675938373412,0.0037631078125979,0.0046311735478388,0.0049204748540352
2015-04-07,-0.0012426093488774,-0.0001714790115342,-0.0020598154952092,0.0018822503277511
2015-04-08,0.0061854629516822,0.0126522940609363,0.0034520158692838,0.0123515754075027
2015-04-09,0.0040356157221588,0.0032315039242341,-0.0004526192269821,-0.0019046826373734
2015-04-10,-9.020228232836658e-05,0.0012302134085697,0.0023858735430219,0.001661398420419
2015-04-13,-0.0034476111013995,-0.0027663436845037,-0.0040717476847246,-0.0030737823271473
2015-04-14,0.0033927746815434,0.0020214443077479,0.0021419710590235,0.0075159557448338
2015-04-15,0.004755769631757,0.0017526682414579,0.0037539453460255,0.0048718062763866
2015-04-16,-0.0021108420774798,-0.003231826089307,0.0005101247353624,0.0001024733840278
2015-04-17,-0.0094315679748723,-0.0022009629120038,-0.0106174556406827,-0.0130456672463713
2015-04-20,-0.0005075730406374,0.0012387450416291,0.0062524287795209,0.0007800969363398
2015-04-21,0.0042657200717421,0.0046294885383106,0.0048785920344471,0.0078046642598483
2015-04-22,0.0009741602415507,-0.0008272682321979,0.0085909646207489,0.0037676848430179
2015-04-23,0.0010665546817723,0.0029723706799449,0.0007364438336603,0.0070607475569128
2015-04-24,0.0032181629162517,0.0004666063449776,0.0015501741422445,0.0002595000485166
2015-04-27,-0.0026200807059345,-0.0113212964462785,-0.0038115102470903,-0.0026637191782969
2015-04-28,-0.0004553188717991,0.0018861299788333,0.0027311302521799,-0.0043644769257583
2015-04-29,-0.0042327286463821,0.0014434094823267,-0.0007602197848491,-0.0058494776088678
2015-04-30,-0.00917457590537,-0.0042795829191309,-0.0103412312712567,-0.0079642478601966
2015-05-01,0.0060511250281771,0.0025511806447564,0.0065263017594465,0.0096502430921945
2015-05-04,0.0031331272933197,0.0006206414236411,0.0024108652637291,0.0037321508754037
